사업장명,소재지전화,소재지전체주소
B&D 복싱클럽,070-8126-1212,서울특별시 영등포구 신길동 878번지
ing 복싱,02-847-0090,서울특별시 영등포구 신길동 101-7번지
영웅태권도,841-5534,서울특별시 영등포구 대림동 665-4
도일태권도,845-0660,서울특별시 영등포구 도림동 114-5
우리 복싱클럽,02-942-9885,서울특별시 성북구 석관동 332-23번지 3층
피닉스 복싱 다이어트 GYM,02-941-1282,서울특별시 성북구 하월곡동 61-1 2층
무림체육관,957--6589,서울특별시 성북구 하월곡동 96-22번지
88 체육관 (권투),914-2558,서울특별시 성북구 하월곡동 88-33번지
성청체육관 (태권도),917-9237,서울특별시 성북구 정릉동 258-13번지
현대홍익체육관,02  720 3005,서울특별시 서대문구 홍제동 456-0번지 성원상가현대홍익학원
리틀아이 태권도,02  365 0209,서울특별시 서대문구 냉천동 20-1번지 2층
삼성본관,2677-8855,서울특별시 영등포구 당산동5가 11-34번지 삼성타운 6층 603호
코리아 스포츠클럽,2675-1236,서울특별시 영등포구 양평동6가 100번지 동양아파트 204동 304호
용인대 경호 유도관,02-921-3438,서울특별시 성북구 돈암동 46-3번지 2층
영등포본관,844-3350,서울특별시 영등포구 신길동 233-174번지 3층
윤중태권도,304-7595,서울특별시 서대문구 북가좌동 5-95번지 지층
용인대금메달체육관(태권도),3292-1009,"서울특별시 성북구 종암동 104-1번지 종암SK아파트상가 지하층 14-16, 19-21호"
스카이복싱클럽,942-1545,서울특별시 성북구 정릉동 16-175번지 백제빌딩 4층
남부중앙,843-9344,서울특별시 영등포구 신길동 113번지
현무태권도장,843-3311,서울특별시 영등포구 신길동 323-5번지
국제체육관,677-2620,서울특별시 영등포구 당산동4가 31-2번지
고려도장,675-4469,서울특별시 영등포구 영등포동6가 25-5번지
임마뉴엘체육관,676-0489,서울특별시 영등포구 당산동3가 395-3번지
청룡태권도,2634-5535,서울특별시 영등포구 양평동4가 64-1번지
백두산체육관,835-2942,서울특별시 영등포구 도림동 202-52번지 2층
명지대태권도체육관,2632-8890,서울특별시 영등포구 당산동5가 4-13번지 상아아파트상가 2층 201호
청운검도관,953-1426,"서울특별시 성북구 돈암동 609-1번지 (서관) 2207,2208호"
이각수무예아카데미,832-5752,서울특별시 영등포구 신길동 449-22번지 4층
보성힐권투체육관,844-1218,서울특별시 영등포구 신길동 159-50
동방태권도체육도장,943-9312,서울특별시 성북구 장위동 231-37번지 3층
엘리트화랑,302-5181,서울특별시 서대문구 북가좌동 307-6번지 4층
연세태권도휘트니스,02-303-5189,서울특별시 서대문구 홍은동 356-39
한국체대 나르샤 태권도장,02-302-2279,서울특별시 서대문구 북가좌동 487 511호
이순신챔피언태권도,02-929-4430,서울특별시 성북구 종암동 61-2번지 3층
원무관(검도),3216-1844,서울특별시 서대문구 홍은동 217-6번지 지층
명성체육관,02-841-1588,서울특별시 영등포구 대림동 993-2번지 3층
독수리체육관(태권도),914-7021,서울특별시 성북구 장위동 71-2번지 (3층)
한국체대 전원체육관,845-1541,서울특별시 영등포구 신길동 410-145번지 미성상가2층
삼성태권도,846-7333,서울특별시 영등포구 신길동 4934번지
정무무예관,2634-6038,서울특별시 영등포구 양평동2가 6-1번지 우남푸르미아오피스텔 208호
서초유도체육관,02)588-6579,서울특별시 서초구 서초동 1535-1번지 (4층)
연무검도관,322-6795,서울특별시 서대문구 연희동 137-1번지 지1층
서명검도관,3471-3574,서울특별시 서초구 서초동 1623-5번지 (지하2층)
우경아이,532-5040,서울특별시 서초구 방배동 766-1번지 (3층)
윤용발유도관,421-3789,서울특별시 송파구 송파동 164-8번지 3층
한국체대풍진태권도장,403-9505,서울특별시 송파구 가락동 136번지
용인대 백호 태권도장,430-1126,서울특별시 송파구 가락동 180-12번지 3층
서초태양(태권도),582-4348,서울특별시 서초구 서초동 1476-11번지 2층
금강(태권도),599-6555,서울특별시 서초구 방배동 795-9번지 25 지하1층
신반포(태권도),533-3030,서울특별시 서초구 반포동 2-8번지 신반포쇼핑 315
장비,593-4584,서울특별시 서초구 잠원동 73-0번지 404호
세종검도관,425-1688,서울특별시 송파구 송파동 84-1번지 지하
한일체육관,402-7300,서울특별시 송파구 문정동 23-3번지 2층
승일체육관,599-8222,서울특별시 서초구 방배동 853-2번지 지하1층
용인대태권도,579-8080,서울특별시 서초구 양재동 361-11번지 2층
헬쓰 정도관,643-2700,서울특별시 영등포구 당산동4가 65번지
하나체육관,02-2676-2236,서울특별시 영등포구 당산동4가 32-62번지
경희성도체육관,844-7577,서울특별시 영등포구 대림동 717-0 두암시장403호
일도체육관,831-8730,서울특별시 영등포구 도림동 141-130
한마음체육관,677-5234,서울특별시 영등포구 당산동 121-73번지
백호체육관,02-843-8392,서울특별시 영등포구 신길동 697번지
흑룡체육관,313-6865,서울특별시 서대문구 북아현동 174번지
용인대 용 태권도장,02 396  3256,서울특별시 서대문구 홍은동 9-83번지 2층
현무태권도,325-9649,서울특별시 서대문구 연희동 719-18 지층
인.오 유도 용무도체육관,304-6566,서울특별시 서대문구 홍은동 395-21번지 2층
양평한맥태권도체육관,2671-2006,서울특별시 영등포구 양평동3가 101번지 현대상가 3층 ３０２호
고려드림 태권도,02  307 7831,서울특별시 서대문구 북가좌동 327-2번지 4층
연세화랑(태권도),02  325 4181,서울특별시 서대문구 연희동 187-58 2층
용인대백호태권도체육관,6278-2300,서울특별시 영등포구 문래동4가 43번지 삼환(a)상가지하1층)
동양권투체육관,845-3073,서울특별시 영등포구 대림동 709-4번지
청룡태권도,834-4049,서울특별시 영등포구 신길동 2573-0번지
올림픽태권도체육관,834-3212,서울특별시 영등포구 대림동 1027-25번지
선사태권도장,833-4650,서울특별시 영등포구 신길동 467-2번지
한맥태권도,2671-7122,서울특별시 영등포구 양평동6가 100-0번지 동양아파트 상가304
보라매다이어트 복싱타운,844-8979,서울특별시 영등포구 신길동 485 4층
청용태권도체육관,02-2631-9134,서울특별시 영등포구 문래동3가 77-2 한신상가 (지하5호)
독수리체육관,831-5549,서울특별시 영등포구 대림동 665-4번지
현s' 효 태권도장,2671-2396,서울특별시 영등포구 당산동4가 16번지
스피드인체육교실,836-3582,서울특별시 영등포구 신길동 459-5번지 신길프라자 201호
여의도태권도,02-786-8956,서울특별시 영등포구 여의도동 32-1번지 수정상가 206호
이근식복싱체육관,832-5671,서울특별시 영등포구 대림동 692-1번지 노송빌딩3층
천지태권도,2672-0093,서울특별시 영등포구 당산동4가 70번지
석촌체육관,422-0502,서울특별시 송파구 석촌동 274-9번지
오주태권도,406-2706,서울특별시 송파구 오금동 151-3번지
현무태권도,470-1619,서울특별시 송파구 풍납동 405-2번지 2층 201호
X.P.L 태권도,404-5090,서울특별시 송파구 오금동 42번지 2층
중앙무예원태화문,579-4198,서울특별시 서초구 양재동 291-19번지 (지층)
대우체육도장,594-1973,서울특별시 서초구 반포동 30-2번지 삼호가든상가 302호
강남SG복싱클럽,515-8513,서울특별시 서초구 반포동 746-14번지 (2층)
경희원도,548-4366,서울특별시 서초구 반포동 708-5번지 지1층
MY태권아카데미,3473-7104,서울특별시 서초구 방배동 442-3번지 4층
참교육 태권도,02-406-8833,서울특별시 송파구 거여동 1-0번지
태권도왕호체육관,449-6444,서울특별시 송파구 가락동 153-8번지
필승체육관,433-8333,서울특별시 중랑구 망우동 465-6번지
코리아체육관,409-7462,서울특별시 송파구 오금동 44-0번지 현대상가 26호
신라체육관,409-8816,서울특별시 송파구 거여동 185-1번지
박천체육관,419-1911,서울특별시 송파구 방이동 218-35번지 3층
태권도효성태권도장,414-2343,서울특별시 송파구 송파동 15-3번지
세종복싱 다이어트 체육관,432-9090,서울특별시 중랑구 면목동 398-7번지 (2층)
한양대 올림픽체육관,2209-1744,서울특별시 중랑구 면목동 185-116번지
금강 태권도장,"434-3752,493-5511",서울특별시 중랑구 면목동 182-102번지 지하1층
신성,598-8577,서울특별시 서초구 서초동 1487-55번지
풍월당(검도),596-5207,서울특별시 서초구 서초동 1716-2번지
상무(태권도),581-8838,서울특별시 서초구 서초동 1648-16번지 2층
마천복싱클럽,400-4091,서울특별시 송파구 거여동 1-9번지 3층
성심태권도,403-8677,서울특별시 송파구 문정동 136-26번지
삼전원도체육관,423-2446,서울특별시 송파구 삼전동 101-16번지
천마 검도체육관,416-0550,서울특별시 송파구 신천동 11-0번지 장미c상가 503호
SOMA종합체육관,408-2389,서울특별시 송파구 가락동 194-7번지
훼밀리월드체육관,406-1588,서울특별시 송파구 문정동 150-0번지 훼미리상가
용태권도장,413-0128,서울특별시 송파구 잠실동 22-6번지 종합상가
제일태권도장,414-0901,서울특별시 송파구 잠실동 19-0번지 관리사무소
경희대중앙태권도,422-3346,서울특별시 송파구 잠실동 27-6번지 중앙상가
태권도송파체육관,448-7373,서울특별시 송파구 오금동 565-0번지
마샬아트아카데미(태권도),402-3557,서울특별시 송파구 가락동 38번지 2층
서울중앙체육관,408-8081,서울특별시 송파구 오금동 18-1번지 5층
현무도장,419-3199,서울특별시 송파구 삼전동 93-13번지
청호체육관,408-3346,서울특별시 송파구 거여동 202-159번지
경원체육관,425-4295,서울특별시 송파구 방이동 135-3번지
용인대체육관,409-6444,서울특별시 송파구 거여동 290-1번지
현대유도체육관,409-1448,서울특별시 송파구 오금동 151-5번지
송파검도관,421-1462,서울특별시 송파구 송파동 163-14번지 현대아파트상가 5층
태권도 중앙도장,02-2644-5654,서울특별시 양천구 신정동 337번지 목동2차우성아파트 A상가303호
백우태권도,2644-5242,서울특별시 양천구 목동 618-5번지
월촌태권도,2642-8533,서울특별시 양천구 목동 199-46번지 우성대원프라자 2층
제일체육관,2604-5425,서울특별시 양천구 신정동 905-5번지
청솔태권도,2653-1531,서울특별시 양천구 목동 750-4번지 4층
국가대표 으뜸 TEAM-USK 태권도,2614-1114,서울특별시 양천구 신정동 761-82번지 3층
튼튼태권도,2645-4951,서울특별시 양천구 목동 231-145번지 지층
경희대백마체육관,2645-4810,서울특별시 양천구 신정동 337번지 우성2차아파트상가 c동 202호
현대태권도,2648-3666,서울특별시 양천구 목동 404-60번지
경희대스마트태권도&줄넘기클럽,2061-8686,서울특별시 양천구 신정동 144-102번지
명복싱멀티짐,02-2065-8594,서울특별시 양천구 신정동 994-5번지 지하1층
네오,2699-8286,서울특별시 양천구 신정동 953-8번지
용인대동문박사체육관,2643-2722,서울특별시 양천구 목동 711-25번지
용인대 타이곤 체육관,2654-3756,서울특별시 양천구 목동 739-1번지
태권도 왕호체육관,2605-0666,서울특별시 양천구 신월동 44-24번지
경희대석사태권도장,2642-8825,서울특별시 양천구 신정동 311번지 목동아파트10단지 B상가동 203호
한국체대 명지태권도장,2605-7942,서울특별시 양천구 신월동 952-1번지 대지상가 3층 4호
강덕태권도,2604-6217,서울특별시 양천구 신월동 19-13번지
신목꿈나무체육관,2643-0122,서울특별시 양천구 신정동 144-42번지
용인대목동태권도장,2648-9362,서울특별시 양천구 목동 925번지 목동신시가지아파트7단지
현무태권도,2642-9044,서울특별시 양천구 신정동 1015-3번지
(주)비엠코퍼레이션,02-2608-1088,서울특별시 양천구 신정동 1006-3번지 2층 일부
경희대동영태권도,02-2653-2423,서울특별시 양천구 목동 231-15번지 지층
세움태권도,02-2651-5588,서울특별시 양천구 신정동 323-10번지 센타프라자 402호
태권코리아본관,2060-7954,서울특별시 양천구 신정동 743-2번지 현대상가 101호
아름찬 코리아,479-1350,서울특별시 송파구 마천동 207-7번지 3층
서울UTC체육관,420-2348,서울특별시 송파구 석촌동 254-1번지
한국태권도장,423-2464,서울특별시 송파구 석촌동 226-0번지 3층
정목경희대석사,2646-2531,서울특별시 양천구 목동 761-14번지 2층
금호태권도장,2642-8533,서울특별시 양천구 목동 199-46번지 우성대원프라자2층
호키청우태권도장,2642-0692,서울특별시 양천구 목동 736-1번지
참피온태권도체육관,2682-0369,서울특별시 양천구 신정동 761-82번지
신비룡체육관,02-2647-7824,서울특별시 양천구 목동 601-6번지
경희 태권도,416-1163,서울특별시 송파구 송파동 163-17번지 3층
성원체육관,449-8503,서울특별시 송파구 가락동 181-14번지 (2층)
연세대효성태권도체육관,2647-8551,서울특별시 양천구 신정동 119-8번지
동무관(검도),425-3113,서울특별시 송파구 삼전동 5-3번지 지하1층
타이거 짐 태권도,358-8978,서울특별시 은평구 불광동 239-2번지 2층
덕승효 태권도,357-3267,서울특별시 은평구 구산동 366-3번지 2층
나토얀태권도,2654-5777,"서울특별시 양천구 신정동 336번지 청구A상가 2층 201,205호"
명문백호도장,354-7075,서울특별시 은평구 진관동 28번지 은평뉴타운구파발아파트 1010동 상가 206호
소나무향기,352-0908,서울특별시 은평구 불광동 638-1번지
한양대태권도아카데미,373-7052,서울특별시 은평구 신사동 344-16번지 3층
지엔비짐,381-1113,서울특별시 은평구 응암동 8-83번지 3층
지앤비짐 복싱,354-0090,서울특별시 은평구 불광동 600-3번지 지층
연세왕호태권도,02-391-4890,서울특별시 종로구 평창동 310-1번지
대광유도장,355-5100,서울특별시 은평구 대조동 187-24번지
타잔체육관,386-2785,서울특별시 은평구 응암동 427-126번지
청무태권도,353-3150,서울특별시 은평구 녹번동 13-1번지
은평실내골프연습장,387-0106,서울특별시 은평구 역촌동 55-22번지
국가대표배출불광경희대태권도,385-2018,서울특별시 은평구 불광동 423-9번지
참피온체육관,352-3984,서울특별시 은평구 신사동 18-30번지
화랑체육관,303-8123,서울특별시 은평구 신사동 228-5번지
올림픽체육관,304-1932,서울특별시 은평구 수색동 102-20번지
대권도건민체육관,353-4264,서울특별시 은평구 불광동 281-82번지
한국체육관,353-5619,서울특별시 은평구 갈현동 451-23번지
갈현유도관,389-5090,서울특별시 은평구 갈현동 497-14번지
참피온헬쓰클럽,304-8162,서울특별시 은평구 수색동 205-515번지
양천체육관,2693-1357,서울특별시 양천구 신월동 126-36번지
관우체육관,02-2648-8008,서울특별시 양천구 신정동 1028-3번지
팀건,02  523 1453,서울특별시 양천구 목동 725-3번지 3층
수색신성태권도,302-9583,서울특별시 은평구 수색동 363-11번지 4층
리틀아이태권도,374-2980,서울특별시 은평구 수색동 144-3번지
연세 태권도,373-7870,서울특별시 은평구 응암동 325-8번지
퓨마체육관,305-0134,서울특별시 은평구 응암동 590-23번지
정도태권도체육관,375-5777,서울특별시 은평구 신사동 36-3번지
사자경희태권도,309-7890,서울특별시 은평구 응암동 287-22번지 2층
고려체육관,352-4923,서울특별시 은평구 대조동 188-1번지
원도체육관,354-4535,서울특별시 은평구 응암동 98-1번지
문무관(우슈),3849-576,서울특별시 은평구 대조동 187-38번지
대학로주짓수(체크맷코리아),02-765-3690,서울특별시 종로구 명륜2가 21-28 5층
경희대 효 태권도,2061-0866,서울특별시 양천구 신정동 119-8 3층
동아,762-7924,서울특별시 종로구 충신동 189-20번지 3층
철무체육관,02-762-5993,서울특별시 종로구 연건동 190-30번지
용 체육관,02-745-0784,서울특별시 종로구 숭인동 1198번지 지상2층
연세대동아체육관,764-8116,서울특별시 종로구 효제동 133-2번지 지상2층
한국체대 화랑태권도,02-3417-0321,"서울특별시 종로구 평창동 150-5번지 글로리아타운 지상3층 304,5호"
퓨마복싱,358-4654,서울특별시 은평구 응암동 1-18번지
증산태권도장,373-8952,서울특별시 은평구 증산동 166-15번지
한국체대남일,387-4200,서울특별시 은평구 갈현동 467-1번지
한국체육관,387-6108,서울특별시 은평구 역촌동 14-7번지
연호체육관,373-7052,서울특별시 은평구 신사동 344-16번지 3층
쌍용체육관,387-6154,서울특별시 은평구 대조동 38-2번지
호돌이체육관,334-9924,서울특별시 은평구 응암동 287-22번지
성무검도관,275-3836,경상북도 포항시 남구 해도동 19-7번지
동국체육관,3582-950,서울특별시 은평구 역촌동 1-12번지
천무태권도장,3598-222,서울특별시 은평구 구산동 15-38번지
파랑호키체육관,357-4132,서울특별시 은평구 갈현동 411-22번지 지층
세계로태권도체육관,352-1004,서울특별시 은평구 역촌동 42-38번지
진관체육관,359-8382,서울특별시 은평구 진관동 86-25번지
동민체육관,374-3350,서울특별시 은평구 수색동 368-5번지
석산체육관,388-0071,서울특별시 은평구 역촌동 83-42번지 2층
쿵후소림달마관,386-4015,서울특별시 은평구 응암동 86-14번지
대성체육관,385-7355,서울특별시 은평구 불광동 264-25번지
백산태권도장,383-0544,서울특별시 은평구 구산동 24-68번지 2층동
신무관,302-0019,서울특별시 은평구 응암동 585-10번지
중앙대태권도,2642-84444,서울특별시 양천구 목동 709-2번지
삼손태권도장,359-4837,서울특별시 은평구 응암동 104-27
불광체육관,359-2900,서울특별시 은평구 불광동 319-10번지
연세왕호태권도,359-0129,서울특별시 은평구 불광동 484-113번지
청무태권도,386-0565,서울특별시 은평구 녹번동 127-2번지 2층
비룡체육관,2065-8164,서울특별시 양천구 신정동 1267번지 목동뉴프라자 5층동 507호
엘림체육관,355-8273,서울특별시 은평구 갈현동 412-1번지
올림픽제2체육관,375-8463,서울특별시 은평구 수색동 140-3번지
왕호체육관,354-3647,서울특별시 은평구 불광동 11-8번지
대한검도관,384-1724,서울특별시 은평구 역촌동 70-34번지
은평유도체육관,387-9542,서울특별시 은평구 역촌동 76-5번지
호신합기도예절관,054-977-8884,경상북도 칠곡군 석적읍 중리 141
정무관M합기도,053-358-5955,대구광역시 서구 비산동 1240-17
청산체육관,053-551-8508,대구광역시 서구 비산동 503-10
계명대 대구태권도,053-743-7036,대구광역시 수성구 만촌동 877-24
합기도 수룡관,054-974-4381,경상북도 칠곡군 왜관읍 석전리 590-4 새마을금고
거인 합기도 체육관 계양관,032-55-3111,인천광역시 계양구 계산동 489-6 팬더아파트
라온 태권도장,051-728-4707,부산광역시 기장군 정관읍 용수리 1366-10 제일빌딩
합기도 청무관,031-952-6537,경기도 파주시 문산읍 문산리 17-535
동아대 MTM 합기도,051-524-3124,부산광역시 해운대구 반여동 1405-55
용인대 블랙벨트 태권도장,063-226-7953,전라북도 완주군 이서면 갈산리 662-8번지
TKS초원태권도,041-579-6681,충청남도 천안시 동남구 신방동 920 초원아파트
지행 무도 합기도,031-864-7780,경기도 동두천시 지행동 719-1 개림프라자 702호
대전 대성검도교실,283-0966,대전광역시 중구 석교동 14-2번지
오희근 태권도스쿨,581-1100,대전광역시 중구 산성동 335-4번지
용진 체육관,531-5964,대전광역시 중구 태평동 257-18번지
고구려 태권도,254-4200,대전광역시 중구 용두동 147-5번지
원도 체육관,622-3028,대전광역시 중구 부사동 140-4번지
합기도 천치관,256-0925,대전광역시 중구 중촌동 88번지
합기도 비도관,583-2963,대전광역시 중구 산성동 300-4번지
동호 체육관,535-5052,대전광역시 중구 태평동 382-8번지
해일 체육관,252-5325,대전광역시 중구 부사동 94-27번지
대명 체육관,226-8991,대전광역시 중구 부사동 142-18번지
금포 요가,254-8656,대전광역시 중구 대사동 94-23번지
합기도 용치관 문화체육관,585-6224,대전광역시 중구 문화동 571-3번지
진산 무술체육관,584-7283,대전광역시 중구 산성동 333-10번지
태권도 맹호체육관,226-2749,대전광역시 중구 부사동 147-7번지
합기도 흑추관 천지도장,584-2866,대전광역시 중구 유천동 285-42번지
합기도 대무관 벽산체육관,582-1118,대전광역시 중구 문화동 284-23번지
문화 체육관,582-3882,대전광역시 중구 문화동 473-19번지
태평 검도관,525-6897,대전광역시 중구 태평동 334-9번지
대한민국 태권도장,581-1100,대전광역시 중구 산성동 335-4번지
천성 체육관,223-1555,대전광역시 중구 목동 111-12번지 한사랑@ 상가 303호
제일 복싱체육관,256-8142,대전광역시 중구 대사동 248-263번지
신바람태권도장,257-4490,대전광역시 중구 용두동 25-9번지 10
태권도 극동 체육관,272-8107,대전광역시 중구 석교동 70-4번지
중앙 태권도장,221-2580,대전광역시 중구 문창동 71-7번지
태권도 효성체육관,586-9944,대전광역시 중구 문화동 759번지 문화종합상가 206호
대전검도관,221-2011,대전광역시 중구 중촌동 61-26번지
천진 태권도,538-1113,대전광역시 중구 유천동 205-9번지
그루터기 종합체육관,271-1068,대전광역시 중구 대흥동 370-20번지
중촌 태권도,223-7428,대전광역시 중구 목동 21-33번지
박영웅 검도교실,536-8472,대전광역시 중구 태평동 266-5번지
한아름 태권도,255-7473,대전광역시 중구 문화동 1-46번지 지하상가 가동
목동 검도관,223-3221,대전광역시 중구 중촌동 408-3번지
바른ⓘ태권도장,223-6126,대전광역시 중구 용두동 26-1번지
한성 유도관,256-6570,대전광역시 중구 부사동 141-13번지
화랑 합기도,271-3198,대전광역시 중구 옥계동 173-153번지
합기도 용치관 중앙체육관,581-8081,대전광역시 중구 산성동 335-1번지
올림픽 유도회관,581-4043,대전광역시 중구 사정동 417-1번지
고려 체육관,585-4666,대전광역시 중구 유천동 179-4번지
삼일 유도체육관,254-3165,대전광역시 중구 대흥동 117-1번지
올릭픽 복싱체육관,253-3557,대전광역시 중구 선화동 104-6번지
백두 태권도장,535-5544,대전광역시 중구 오류동 162-1번지
고구려체육관,042-254-4200,대전광역시 중구 용두동 21-4번지
인파이터,257-2224,대전광역시 중구 중촌동 118-18번지
백호체육관,936-6460,대전광역시 중구 문화동 161번지
I CAN 태권스쿨,222-7890,대전광역시 중구 대흥동 492-1번지
용인대신무체육관,263-7979,강원도 춘천시 석사동 740-14번지
승무체육관,261-3515,강원도 춘천시 석사동 726-14번지
태극체육관,244-5666,강원도 춘천시 퇴계동 872-8번지
한국체육관,257-5523,강원도 춘천시 효자동 679-21번지
한빛태권도,252-8758,강원도 춘천시 후평동 692-15번지
한림대체육관,263-7970,강원도 춘천시 퇴계동 983-1번지 301호
호반태권마스타 성림체육관,264-7771,강원도 춘천시 석사동 880-4번지 프라임타워501호
누리마루태권도장,244-2461,강원도 춘천시 우두동 759-7번지
복싱다이어트,253-7982,강원도 춘천시 효자동 646-2번지
현진태권도,255-7735,강원도 춘천시 퇴계동 1003-6번지 54통1반
꿈나무체육관2호관,261-2349,강원도 춘천시 석사동 904-1번지 퇴계4지구
비호체육관,241-2324,강원도 춘천시 석사동 880-5번지
양우체육관,033-241-0451,강원도 춘천시 퇴계동 909-8번지 22통1반
한림유도관,257-1456,강원도 춘천시 효자동 18-49번지
우석태권도장,261-3515,강원도 춘천시 석사동 729-7번지
우석태권도장,261-3515,강원도 춘천시 석사동 7297-7번지
유도비젼21,256-7890,강원도 춘천시 효자동 18-49번지
한성체육관,256-1124,강원도 춘천시 동면 만천리 816-14번지
중앙무술관,256-7977,강원도 춘천시 온의동 123-28번지
천무검도관,253-7994,강원도 춘천시 우두동 1067-1번지
정도태권도 퇴계교육관,256-5558,강원도 춘천시 퇴계동 426-22
한림대체육관,262-6782,강원도 춘천시 퇴계동 187-4번지 중앙하이츠빌딩 501호
경원대 태권도 체육관,263-6022,강원도 춘천시 석사동 767-5번지
본국검도,2445354,강원도 춘천시 효자동 743번지 4통1반
KMA아카데미,256-7977,강원도 춘천시 석사동 678-1번지
용인대성원태권도장,264-2505,강원도 춘천시 동면 만천리 881-1번지
익스트림 피트니스,263-1207,강원도 춘천시 석사동 729-8번지 3층
한마음태권도,912-8291,강원도 춘천시 후평동 796-6번지
한미태권도장 신관,261-9983,강원도 춘천시 석사동 818-4번지
설악체육관,033-682-580,강원도 고성군 거진읍 거진리 6통2반
대호검도관,033-681-8009,강원도 고성군 간성읍 상리 2통
대효검도관,033-681-8009,강원도 고성군 간성읍 하리 33-9번지
호반태권마스타 한림체육관,257-8181,강원도 춘천시 후평동 711 3층
계명대경신태권도,765-3997,대구광역시 수성구 황금동 796-8번지 (3층)
강동태권도,965-7001,대구광역시 동구 신서동 561번지 아름다운나날 3단지 A상가 320동 301호
승리태권도,522-8793,대전광역시 중구 유천동 198-15번지
천무체육관,308-1714,서울특별시 은평구 증산동 185-23번지 3층
진성검도관,373-9097,서울특별시 은평구 수색동 154-2번지 지층
한양대태권리더,2649-7771,서울특별시 양천구 신정동 323-24번지
응암유도체육관,306-1382,서울특별시 은평구 응암동 585-50번지
타잔2체육관,357-3607,서울특별시 은평구 응암동 240-1번지
고려태권도,385-3993,서울특별시 은평구 대조동 80-2번지
팔마체육관,302-9583,서울특별시 은평구 수색동 318-1번지
산야체육관,306-5518,서울특별시 은평구 응암동 337-35번지 2층
호돌이태권도체육관,309-7890,서울특별시 은평구 응암동 671-1번지
선수촌올림픽스포츠센터,401-7581,서울특별시 송파구 방이동 89-12번지
양진검도관,404-1606,서울특별시 송파구 오금동 23-0번지
K-태권도 마샬아츠,414-7709,서울특별시 송파구 잠실동 207-5번지 지하1층
코리아 서울 태권도,414-2343,서울특별시 송파구 송파동 15-3번지 3층
Marine corps 태권도체육관,431-4498,서울특별시 송파구 거여동 31-11번지 지층
왕호체육관,417-5163,서울특별시 송파구 방이동 219-7번지 2층
송파검도관,421-1462,서울특별시 송파구 송파동 146-2번지 9통5반
종로 복싱,02-742-0677,서울특별시 종로구 인사동 75-4번지 세인빌딩 7~8층
호수,417-3156,서울특별시 송파구 방이동 103-15번지
거여태권도장,400-3093,서울특별시 송파구 거여동 23-1번지
송파복싱,3431-8156,서울특별시 송파구 석촌동 272-9번지
고려대현대체육관,421-2662,서울특별시 송파구 방이동 123-0번지
성균관체육관,743-0981,서울특별시 종로구 명륜3가 2-24번지
초석유도회관,404-9539,서울특별시 송파구 거여동 42-19번지
월드태권도,418-9608,서울특별시 송파구 송파동 103-11번지 2층
경희대체육관,417-5163,서울특별시 송파구 방이동 218-35번지 3층
운암검도교실,431-1711,서울특별시 송파구 가락동 70-18번지 지하1층
중대태권도장,414-3156,서울특별시 송파구 송파동 180-3번지 2층
화랑태권아카데미,02-3417-0321,서울특별시 종로구 평창동 148-16번지
이화 검도관(태권도),744-6673,서울특별시 종로구 충신동 57-8번지
엘리트,766-2658,서울특별시 종로구 창신동 703번지 쌍용(아)상가동 406-7호
신라체육관,407-1958,"서울특별시 송파구 마천동 129-1번지 , 3층"
웅비용마무술관,400-2184,서울특별시 송파구 거여동 19-8번지 (2층)
문정태권도체육도장,403-4382,서울특별시 송파구 문정동 21-3번지 2층
용인대 가원 태권도,401-1823,서울특별시 송파구 문정동 150번지 올림픽훼밀리타운 오륜상가 지하1층
문정검도관,408-2299,서울특별시 송파구 문정동 21-2번지
왕호체육관,354-3647,서울특별시 은평구 불광동 13-25번지
강호태권도체육관,384-0186,서울특별시 은평구 역촌동 62-3 무궁화빌딩 4층동
아시아태권도전문교육,359-9519,서울특별시 은평구 구산동 202-2번지 105동
우정체육관,358-2675,서울특별시 은평구 응암동 100-26번지
우슈무술관,02-423-7395,서울특별시 송파구 방이동 113-4번지 금호빌딩
한얼태권도장,406-2824,서울특별시 송파구 거여동 198-20번지 지상3층
가락금호체육도장,409-1779,서울특별시 송파구 가락동 91-10번지
태권도현대체육관,422-9731,서울특별시 송파구 문정동 116-10번지
태비 현무태권도 체육관,2603-5995,서울특별시 양천구 신정동 1148-3번지 2층
용인대백호태권도장,430-1126,"서울특별시 송파구 가락동 2-2번지 외3,4호"
경희대태권도,431-1999,서울특별시 송파구 거여동 554-5번지
경희무술스쿨,418-1492,서울특별시 송파구 신천동 7번지 장미상가 A동502호
태권매니아,412-2214,서울특별시 송파구 삼전동 58-4번지
이젠 스포츠,403-7777,서울특별시 송파구 가락동 125-3번지
한국체육관,402-7300,서울특별시 송파구 문정동 9-6번지
태권도잠실체육관,414-8530,서울특별시 송파구 신천동 11번지 장미상가5층
경희대석사 체육관,02-2061-2423,서울특별시 양천구 목동 761-14번지 2층
왕호태권도장,400-4906,서울특별시 송파구 방이동 226-1번지
club junior 체육관,402-6857,서울특별시 송파구 가락동 122-6번지
가락제일태권도아카데미,3401-9588,서울특별시 송파구 가락동 19-9번지
경희 잠현 태권도,417-0734,서울특별시 송파구 신천동 17-4번지 파크리오(아)상가 511호
태권도라인스쿨,404-8855,"서울특별시 송파구 가락동 164-24번지 ,  3층"
광일태권도,417-6273,서울특별시 송파구 송파동 40번지 2층
